"Date","Time","Open","High","Low","Close","Vol","OI"
05/12/2000,16:00,6300.00,6300.00,5775.00,5850.00,10,0
05/19/2000,16:00,5850.00,6525.00,5850.00,6225.00,32,0
05/26/2000,16:00,6225.00,6225.00,4800.00,4800.00,3,0
06/02/2000,16:00,4950.00,6000.00,4950.00,5250.00,9,0
06/09/2000,16:00,5175.00,6000.00,5137.50,5700.00,5,0
06/16/2000,16:00,5400.00,6825.00,5100.00,6825.00,22,0
06/23/2000,16:00,6900.00,6900.00,6450.00,6450.00,44,0
06/30/2000,16:00,6450.00,6600.00,6225.00,6600.00,8,0
07/07/2000,16:00,6150.00,6600.00,5775.00,5775.00,3,0
07/14/2000,16:00,6000.00,6600.00,5700.00,5700.00,5,0
07/21/2000,16:00,5625.00,5850.00,5400.00,5700.00,30,0
07/28/2000,16:00,5700.00,5700.00,4950.00,4950.00,3,0
08/04/2000,16:00,4950.00,4950.00,4950.00,4950.00,0,0
08/11/2000,16:00,5100.00,5400.00,4725.00,5400.00,41,0
08/18/2000,16:00,5250.00,6450.00,5250.00,5850.00,14,0
08/25/2000,16:00,5850.00,5925.00,5400.00,5400.00,0,0
09/01/2000,16:00,5700.00,5700.00,5325.00,5625.00,29,0
09/08/2000,16:00,5531.25,5700.00,5475.00,5700.00,9,0
09/15/2000,16:00,5475.00,5625.00,5325.00,5400.00,28,0
09/22/2000,16:00,5400.00,5400.00,4537.50,4800.00,89,0
09/29/2000,16:00,4650.00,4800.00,4575.00,4800.00,21,0
10/06/2000,16:00,4800.00,5100.00,4425.00,4462.50,19,0
10/13/2000,16:00,4350.00,4500.00,4125.00,4387.50,5,0
10/20/2000,16:00,4650.00,5250.00,4275.00,5250.00,27,0
10/27/2000,16:00,5250.00,5550.00,4875.00,4875.00,19,0
11/03/2000,16:00,4800.00,5175.00,4725.00,4725.00,10,0
11/10/2000,16:00,4650.00,4800.00,4425.00,4425.00,25,0
11/17/2000,16:00,4237.50,4425.00,4200.00,4200.00,21,0
11/24/2000,16:00,4237.50,4350.00,4125.00,4275.00,2,0
12/01/2000,16:00,4500.00,4500.00,3187.50,3450.00,37,0
12/08/2000,16:00,3600.00,3975.00,3600.00,3675.00,12,0
12/15/2000,16:00,4050.00,4537.50,3900.00,4350.00,6,0
12/22/2000,16:00,4425.00,4612.50,4125.00,4200.00,11,0
12/29/2000,16:00,4200.00,4575.00,4087.50,4425.00,44,0
01/05/2001,16:00,4200.00,4387.50,4050.00,4050.00,12,0
01/12/2001,16:00,4200.00,4425.00,3900.00,4050.00,17,0
01/19/2001,16:00,4050.00,4200.00,4050.00,4200.00,2,0
01/26/2001,16:00,4350.00,4650.00,4275.00,4500.00,7,0
02/02/2001,16:00,4500.00,4650.00,4200.00,4425.00,4,0
02/09/2001,16:00,4425.00,4425.00,4125.00,4125.00,5,0
02/16/2001,16:00,4162.50,4425.00,3825.00,3937.50,12,0
02/23/2001,16:00,3712.50,3712.50,3150.00,3262.50,8,0
03/02/2001,16:00,3300.00,3300.00,2775.00,2962.50,10,0
03/09/2001,16:00,2962.50,3187.50,2775.00,2943.75,51,0
03/16/2001,16:00,2943.75,3075.00,2812.50,3075.00,4,0
03/23/2001,16:00,3075.00,3075.00,2925.00,3075.00,4,0
03/30/2001,16:00,3225.00,3562.50,3150.00,3337.50,66,0
04/06/2001,16:00,3412.50,3528.00,3225.00,3528.00,16,0
04/13/2001,16:00,3426.00,3480.00,3240.00,3450.00,31,0
04/20/2001,16:00,3390.00,3570.00,3330.00,3342.00,19,0
04/27/2001,16:00,3324.00,3408.00,3192.00,3192.00,13,0
05/04/2001,16:00,3216.00,3372.00,3150.00,3252.00,24,0
05/11/2001,16:00,3288.00,3708.00,3282.00,3510.00,23,0
05/18/2001,16:00,3540.00,4020.00,3390.00,4020.00,14,0
05/25/2001,16:00,3990.00,4290.00,3900.00,4176.00,123,0
06/01/2001,16:00,4200.00,4560.00,4134.00,4560.00,118,0
06/08/2001,16:00,4518.00,5208.00,4518.00,4530.00,106,0
06/15/2001,16:00,4530.00,4776.00,4500.00,4620.00,29,0
06/22/2001,16:00,4488.00,4560.00,3960.00,4302.00,93,0
06/29/2001,16:00,4230.00,4524.00,4206.00,4524.00,19,0
07/06/2001,16:00,4542.00,4920.00,4230.00,4770.00,11,0
07/13/2001,16:00,4770.00,4770.00,4464.00,4500.00,28,0
07/20/2001,16:00,4500.00,4608.00,4248.00,4266.00,26,0
07/27/2001,16:00,4302.00,4302.00,3750.00,3870.00,68,0
08/03/2001,16:00,3840.00,4188.00,3840.00,4044.00,89,0
08/10/2001,16:00,3906.00,3930.00,3510.00,3600.00,26,0
08/17/2001,16:00,3516.00,3726.00,3444.00,3522.00,58,0
08/24/2001,16:00,3486.00,3522.00,3186.00,3522.00,38,0
08/31/2001,16:00,3552.00,3666.00,3144.00,3180.00,61,0
