"Date","Time","Open","High","Low","Close","Vol","OI"
01/05/1990,16:00,3.94,4.13,3.69,3.81,5686000,0
01/12/1990,16:00,3.81,3.88,3.69,3.75,3973000,0
01/19/1990,16:00,3.75,3.94,3.56,3.75,3131600,0
01/26/1990,16:00,3.75,3.88,3.56,3.69,2252800,0
02/02/1990,16:00,3.69,3.75,3.50,3.50,2500600,0
02/09/1990,16:00,3.50,3.69,3.44,3.63,2115800,0
02/16/1990,16:00,3.63,3.69,3.50,3.63,882600,0
02/23/1990,16:00,3.63,3.94,3.50,3.88,3527200,0
03/02/1990,16:00,3.88,4.56,3.88,4.50,7409000,0
03/09/1990,16:00,4.50,4.69,4.38,4.50,3566400,0
03/16/1990,16:00,4.50,4.69,4.38,4.63,3848400,0
03/23/1990,16:00,4.63,5.06,4.50,4.94,9049600,0
03/30/1990,16:00,4.94,5.00,4.50,4.56,3237600,0
04/06/1990,16:00,4.56,4.75,4.44,4.44,3153600,0
04/13/1990,16:00,4.44,4.56,4.19,4.44,2106000,0
04/20/1990,16:00,4.44,4.50,4.13,4.31,3681200,0
04/27/1990,16:00,4.31,4.38,4.06,4.31,2988200,0
05/04/1990,16:00,4.31,4.44,4.13,4.19,1828800,0
05/11/1990,16:00,4.19,4.75,4.19,4.75,6284200,0
05/18/1990,16:00,4.75,5.31,4.69,5.19,11461400,0
05/25/1990,16:00,5.19,5.63,5.00,5.38,11076000,0
06/01/1990,16:00,5.38,5.69,5.19,5.25,4779600,0
06/08/1990,16:00,5.25,5.38,4.75,4.81,7690600,0
06/15/1990,16:00,4.81,5.00,4.63,4.69,8675200,0
06/22/1990,16:00,4.69,4.75,4.44,4.50,3506800,0
06/29/1990,16:00,4.50,4.75,4.44,4.75,3319200,0
07/06/1990,16:00,4.75,4.88,4.63,4.81,2630600,0
07/13/1990,16:00,4.81,4.81,4.50,4.81,3908200,0
07/20/1990,16:00,4.81,4.81,3.56,3.63,4683600,0
07/27/1990,16:00,3.63,3.69,3.38,3.56,5544800,0
08/03/1990,16:00,3.56,3.56,2.81,3.06,4491200,0
