"Date","Time","Open","High","Low","Close","Vol","OI"
04/02/1993,16:00,600.00,650.00,600.00,606.20,837,0
04/09/1993,16:00,600.00,650.00,600.00,625.00,295,0
04/16/1993,16:00,650.00,650.00,600.00,625.00,689,0
04/23/1993,16:00,650.00,687.50,625.00,687.50,163,0
04/30/1993,16:00,700.00,850.00,700.00,850.00,3956,0
05/07/1993,16:00,850.00,925.00,812.50,875.00,2076,0
05/14/1993,16:00,875.00,950.00,850.00,950.00,1443,0
05/21/1993,16:00,950.00,950.00,875.00,900.00,826,0
05/28/1993,16:00,900.00,1050.00,875.00,1050.00,6065,0
06/04/1993,16:00,1050.00,1175.00,1025.00,1175.00,1037,0
06/11/1993,16:00,1175.00,1175.00,975.00,1025.00,1627,0
06/18/1993,16:00,1025.00,1125.00,1025.00,1087.50,672,0
06/25/1993,16:00,1100.00,1200.00,1087.50,1200.00,1542,0
07/02/1993,16:00,1200.00,1375.00,1150.00,1300.00,474,0
07/09/1993,16:00,1425.00,1425.00,1350.00,1375.00,121,0
07/16/1993,16:00,1375.00,1375.00,1125.00,1137.50,1508,0
07/23/1993,16:00,1175.00,1187.50,1075.00,1187.50,317,0
07/30/1993,16:00,1187.50,1187.50,1150.00,1150.00,30,0
08/06/1993,16:00,1150.00,1200.00,1150.00,1200.00,1,0
08/13/1993,16:00,1150.00,1200.00,1150.00,1175.00,414,0
08/20/1993,16:00,1150.00,1200.00,1150.00,1150.00,3935,0
08/27/1993,16:00,1200.00,1200.00,1150.00,1200.00,35,0
09/03/1993,16:00,1175.00,1375.00,1175.00,1375.00,603,0
09/10/1993,16:00,1312.50,1337.50,1300.00,1325.00,2221,0
09/17/1993,16:00,1325.00,1325.00,1300.00,1300.00,15,0
09/24/1993,16:00,1300.00,1300.00,1075.00,1075.00,287,0
10/01/1993,16:00,1075.00,1075.00,950.00,950.00,106,0
10/08/1993,16:00,900.00,925.00,850.00,875.00,8405,0
10/15/1993,16:00,875.00,1075.00,875.00,1025.00,1899,0
10/22/1993,16:00,1075.00,1125.00,1000.00,1125.00,2238,0
10/29/1993,16:00,1150.00,1325.00,1100.00,1200.00,2502,0
11/05/1993,16:00,1200.00,1200.00,987.50,1050.00,20710,0
11/12/1993,16:00,1050.00,1050.00,1000.00,1025.00,565,0
11/19/1993,16:00,1000.00,1000.00,950.00,950.00,409,0
11/26/1993,16:00,950.00,975.00,950.00,975.00,809,0
12/03/1993,16:00,975.00,1025.00,975.00,1000.00,11036,0
12/10/1993,16:00,975.00,1000.00,975.00,975.00,1268,0
12/17/1993,16:00,975.00,1000.00,875.00,925.00,879,0
12/24/1993,16:00,925.00,975.00,900.00,900.00,194,0
12/31/1993,16:00,900.00,925.00,850.00,875.00,3181,0
01/07/1994,16:00,850.00,900.00,837.50,900.00,5873,0
01/14/1994,16:00,900.00,900.00,850.00,900.00,85,0
01/21/1994,16:00,900.00,900.00,837.50,875.00,392,0
01/28/1994,16:00,850.00,875.00,825.00,875.00,2220,0
02/04/1994,16:00,850.00,1025.00,850.00,975.00,4435,0
02/11/1994,16:00,975.00,1050.00,875.00,875.00,768,0
02/18/1994,16:00,900.00,925.00,850.00,912.50,222,0
02/25/1994,16:00,875.00,900.00,875.00,875.00,1515,0
03/04/1994,16:00,875.00,975.00,850.00,962.50,3910,0
03/11/1994,16:00,962.50,975.00,925.00,962.50,11324,0
03/18/1994,16:00,1000.00,1025.00,950.00,975.00,917,0
03/25/1994,16:00,975.00,1000.00,962.50,1000.00,4865,0
04/01/1994,16:00,975.00,987.50,900.00,950.00,445,0
04/08/1994,16:00,900.00,912.50,812.50,900.00,7455,0
