"Date","Time","Open","High","Low","Close","Vol","OI"
11/22/1996,16:00,13.00,13.00,10.25,10.50,158400,0
11/29/1996,16:00,10.75,11.00,10.25,11.00,95200,0
12/06/1996,16:00,10.50,10.75,9.00,10.13,657700,0
12/13/1996,16:00,10.13,14.25,9.94,13.50,608500,0
12/20/1996,16:00,14.50,14.50,13.00,13.56,285400,0
12/27/1996,16:00,13.63,15.25,13.00,15.25,237200,0
01/03/1997,16:00,15.13,17.25,14.75,17.00,265700,0
01/10/1997,16:00,16.50,19.75,16.50,18.25,1526900,0
01/17/1997,16:00,19.00,20.00,18.25,19.75,402000,0
01/24/1997,16:00,19.75,24.25,18.75,20.63,266900,0
01/31/1997,16:00,21.25,22.25,19.75,22.25,213500,0
02/07/1997,16:00,21.00,24.00,20.75,23.75,177200,0
02/14/1997,16:00,23.00,23.75,20.50,23.25,288700,0
02/21/1997,16:00,23.25,24.25,22.50,23.75,132600,0
02/28/1997,16:00,23.25,24.25,18.50,19.75,141500,0
03/07/1997,16:00,19.00,19.75,17.50,18.50,153300,0
03/14/1997,16:00,17.50,18.50,17.00,17.13,147200,0
03/21/1997,16:00,17.75,17.75,14.50,15.50,154700,0
03/28/1997,16:00,15.25,17.63,14.25,16.13,193700,0
04/04/1997,16:00,15.38,16.25,12.00,12.75,1045000,0
04/11/1997,16:00,13.00,15.00,12.75,14.88,291000,0
04/18/1997,16:00,15.00,15.00,13.50,14.13,431300,0
04/25/1997,16:00,14.00,14.25,13.00,13.00,78200,0
05/02/1997,16:00,13.13,15.75,13.00,15.50,255600,0
05/09/1997,16:00,15.75,17.63,15.25,17.38,339300,0
05/16/1997,16:00,17.38,18.25,17.00,18.25,128200,0
05/23/1997,16:00,18.00,19.50,17.25,19.00,583200,0
05/30/1997,16:00,19.25,19.25,18.00,18.50,63700,0
06/06/1997,16:00,18.63,18.75,17.88,18.25,100100,0
06/13/1997,16:00,18.25,18.50,16.13,16.75,211700,0
06/20/1997,16:00,17.38,19.00,17.00,18.75,192800,0
06/27/1997,16:00,19.00,19.50,16.50,17.13,292600,0
07/04/1997,16:00,17.50,18.00,16.88,17.75,117700,0
07/11/1997,16:00,17.72,19.75,16.75,17.25,700500,0
07/18/1997,16:00,17.25,18.25,16.25,17.00,296100,0
07/25/1997,16:00,17.50,18.50,16.50,17.63,286100,0
08/01/1997,16:00,17.13,17.63,16.19,16.38,445500,0
08/08/1997,16:00,16.00,16.38,14.75,15.50,718500,0
08/15/1997,16:00,15.50,17.00,15.25,15.50,171800,0
08/22/1997,16:00,16.25,19.00,15.38,18.75,552500,0
08/29/1997,16:00,18.75,19.00,17.88,18.25,390300,0
09/05/1997,16:00,18.25,19.38,18.00,18.88,149300,0
09/12/1997,16:00,18.63,22.25,18.25,21.13,834800,0
09/19/1997,16:00,21.25,22.38,19.50,21.38,263500,0
09/26/1997,16:00,21.50,22.75,19.88,22.13,309000,0
10/03/1997,16:00,22.13,27.25,21.00,25.75,769800,0
10/10/1997,16:00,25.75,29.25,24.50,27.25,617600,0
10/17/1997,16:00,27.50,28.00,23.00,25.00,500400,0
10/24/1997,16:00,24.50,25.38,23.25,24.63,1186100,0
10/31/1997,16:00,24.38,24.38,17.75,21.50,910300,0
11/07/1997,16:00,21.50,25.00,21.25,23.25,610900,0
11/14/1997,16:00,23.75,24.25,21.50,21.69,133600,0
11/21/1997,16:00,21.88,23.75,20.00,21.38,259800,0
11/28/1997,16:00,21.00,21.75,19.75,20.63,350000,0
12/05/1997,16:00,21.00,24.00,20.75,23.00,294300,0
12/12/1997,16:00,23.63,23.63,19.00,19.13,151200,0
12/19/1997,16:00,20.00,20.13,18.25,18.63,269700,0
12/26/1997,16:00,18.75,23.00,18.75,22.75,165900,0
01/02/1998,16:00,22.75,23.50,22.00,23.00,237800,0
01/09/1998,16:00,23.13,23.13,19.75,20.50,407800,0
01/16/1998,16:00,20.75,21.25,15.00,17.75,1080800,0
01/23/1998,16:00,17.75,18.00,17.00,17.06,965200,0
01/30/1998,16:00,17.00,22.00,17.00,21.75,444400,0
02/06/1998,16:00,22.13,24.38,21.50,24.00,620000,0
02/13/1998,16:00,24.00,24.00,22.88,23.38,189500,0
02/20/1998,16:00,23.13,25.50,22.75,24.00,403700,0
02/27/1998,16:00,23.75,23.75,21.88,22.13,660100,0
03/06/1998,16:00,21.50,24.25,21.13,23.25,205500,0
03/13/1998,16:00,23.75,24.13,20.75,20.75,227500,0
03/20/1998,16:00,21.63,22.25,20.25,21.56,381200,0
03/27/1998,16:00,21.50,22.50,19.25,20.13,423700,0
04/03/1998,16:00,20.38,22.50,20.00,20.13,408200,0
04/10/1998,16:00,20.50,21.00,18.63,19.75,228800,0
04/17/1998,16:00,19.75,20.25,18.25,19.00,219800,0
04/24/1998,16:00,18.63,19.25,17.25,17.50,205900,0
05/01/1998,16:00,18.00,18.00,15.50,16.50,211900,0
05/08/1998,16:00,16.50,17.13,16.00,16.13,96500,0
05/15/1998,16:00,16.75,17.63,15.38,16.63,239000,0
05/22/1998,16:00,17.19,17.19,14.87,15.63,331000,0
05/29/1998,16:00,15.50,15.88,12.63,14.25,940900,0
06/05/1998,16:00,14.13,14.38,13.00,13.44,1432900,0
06/12/1998,16:00,13.44,14.50,12.50,14.25,1080000,0
06/19/1998,16:00,13.50,14.88,11.13,12.13,2762400,0
06/26/1998,16:00,12.25,12.94,10.25,11.56,744200,0
07/03/1998,16:00,12.13,13.38,11.56,13.19,415200,0
07/10/1998,16:00,13.50,13.50,11.88,12.38,177700,0
07/17/1998,16:00,12.13,12.75,11.63,12.00,249700,0
07/24/1998,16:00,11.63,13.56,11.50,11.50,253600,0
07/31/1998,16:00,11.25,11.25,7.88,9.00,970600,0
08/07/1998,16:00,9.38,9.38,8.75,9.13,259800,0
08/14/1998,16:00,9.50,10.00,8.50,8.50,143700,0
08/21/1998,16:00,7.00,7.00,5.38,5.44,2392400,0
08/28/1998,16:00,5.63,6.13,4.63,5.00,470600,0
09/04/1998,16:00,4.75,5.50,4.00,4.88,349400,0
09/11/1998,16:00,5.38,5.50,4.69,4.88,95100,0
09/18/1998,16:00,5.06,5.19,4.00,4.88,278500,0
09/25/1998,16:00,4.88,7.31,4.88,6.75,217700,0
10/02/1998,16:00,6.75,7.50,6.25,7.38,234000,0
10/09/1998,16:00,6.75,7.00,4.19,4.50,233700,0
10/16/1998,16:00,4.50,5.13,4.25,4.63,175500,0
10/23/1998,16:00,4.63,5.25,4.44,5.13,243100,0
10/30/1998,16:00,5.25,5.88,4.81,5.63,844600,0
11/06/1998,16:00,5.88,7.44,5.63,6.88,322900,0
11/13/1998,16:00,6.88,7.00,5.25,5.50,135400,0
11/20/1998,16:00,5.44,6.88,5.44,6.25,281000,0
11/27/1998,16:00,6.63,6.81,5.75,6.13,1401800,0
12/04/1998,16:00,5.81,6.25,5.38,5.38,123900,0
12/11/1998,16:00,5.31,5.44,4.78,5.00,259300,0
12/18/1998,16:00,5.00,5.88,4.66,5.31,258100,0
12/25/1998,16:00,5.31,5.38,4.75,4.94,128900,0
01/01/1999,16:00,4.94,5.00,4.50,4.94,494000,0
01/08/1999,16:00,5.00,7.50,5.00,7.06,752900,0
01/15/1999,16:00,8.00,8.38,6.75,7.25,413300,0
01/22/1999,16:00,7.50,7.50,5.75,6.00,336900,0
