"Date","Time","Open","High","Low","Close","Vol","OI"
11/17/2000,16:00,8.16,9.31,7.88,8.75,3980300,0
11/24/2000,16:00,8.28,8.88,8.00,8.63,711900,0
12/01/2000,16:00,8.84,13.00,7.88,9.19,856800,0
12/08/2000,16:00,9.13,9.81,7.50,9.25,426500,0
12/15/2000,16:00,9.22,11.50,9.00,10.00,883800,0
12/22/2000,16:00,10.25,10.25,7.50,8.88,761600,0
12/29/2000,16:00,8.94,9.25,8.03,8.94,248700,0
01/05/2001,16:00,8.88,9.09,8.13,8.38,339000,0
01/12/2001,16:00,8.22,8.31,6.25,7.00,495800,0
01/19/2001,16:00,6.69,7.63,6.63,7.00,292500,0
01/26/2001,16:00,7.13,7.63,6.81,7.63,234800,0
02/02/2001,16:00,7.38,7.88,7.13,7.75,140300,0
02/09/2001,16:00,7.88,7.88,7.03,7.13,91400,0
02/16/2001,16:00,7.44,7.44,6.63,6.75,360400,0
02/23/2001,16:00,7.00,7.00,6.25,6.88,167600,0
03/02/2001,16:00,6.53,6.91,6.38,6.63,147600,0
03/09/2001,16:00,6.53,7.50,6.38,6.38,158300,0
03/16/2001,16:00,6.38,6.63,5.75,6.00,92100,0
03/23/2001,16:00,5.88,5.97,4.56,5.13,127300,0
03/30/2001,16:00,4.50,6.88,4.16,5.38,419000,0
04/06/2001,16:00,5.38,5.81,4.75,5.03,1516400,0
04/13/2001,16:00,5.00,5.10,4.80,5.09,148000,0
04/20/2001,16:00,4.99,5.75,4.95,5.41,216900,0
04/27/2001,16:00,5.50,6.65,5.30,6.65,169500,0
05/04/2001,16:00,6.57,7.45,5.10,5.31,226700,0
05/11/2001,16:00,5.74,6.98,5.74,6.35,102900,0
05/18/2001,16:00,6.00,7.05,5.80,6.92,553400,0
05/25/2001,16:00,6.95,8.20,6.74,8.13,1200900,0
06/01/2001,16:00,8.16,8.25,7.75,7.90,448400,0
06/08/2001,16:00,7.76,8.33,7.55,7.70,545000,0
06/15/2001,16:00,7.70,8.20,6.75,6.88,340600,0
06/22/2001,16:00,6.84,7.61,6.75,7.30,716900,0
06/29/2001,16:00,7.05,9.50,7.05,9.10,1197300,0
07/06/2001,16:00,8.73,8.85,8.34,8.80,411900,0
07/13/2001,16:00,8.72,9.09,8.58,8.80,426000,0
07/20/2001,16:00,8.83,8.84,8.08,8.41,690400,0
07/27/2001,16:00,8.48,8.60,7.95,8.39,335200,0
08/03/2001,16:00,8.50,10.25,8.10,9.45,1246900,0
08/10/2001,16:00,9.59,10.90,8.85,10.00,1072000,0
08/17/2001,16:00,10.05,11.50,9.77,10.32,642100,0
08/24/2001,16:00,10.70,11.15,10.33,11.15,484200,0
08/31/2001,16:00,11.16,11.20,9.85,10.40,653800,0
09/07/2001,16:00,10.39,10.72,9.70,9.75,407300,0
09/14/2001,16:00,9.06,9.25,9.05,9.05,185400,0
09/21/2001,16:00,9.00,9.20,7.20,8.25,584900,0
09/28/2001,16:00,8.45,9.50,8.35,9.02,1029700,0
10/05/2001,16:00,9.02,9.69,8.44,9.55,1022300,0
10/12/2001,16:00,9.35,9.82,9.10,9.30,497000,0
10/19/2001,16:00,9.30,9.60,8.95,9.35,816600,0
10/26/2001,16:00,9.14,10.70,9.14,10.40,1089600,0
11/02/2001,16:00,9.96,12.21,9.75,12.00,1648100,0
11/09/2001,16:00,12.04,12.50,10.36,12.15,1243600,0
11/16/2001,16:00,12.05,14.54,11.35,11.46,1593600,0
11/23/2001,16:00,11.56,12.05,10.85,11.97,677400,0
11/30/2001,16:00,12.00,13.75,11.95,13.45,890800,0
12/07/2001,16:00,13.59,15.30,13.14,13.65,1405500,0
12/14/2001,16:00,13.64,14.34,12.56,13.86,718800,0
12/21/2001,16:00,14.05,14.79,13.75,14.30,845100,0
12/28/2001,16:00,14.39,15.89,13.92,14.28,337700,0
01/04/2002,16:00,14.40,15.10,13.93,14.20,546000,0
01/11/2002,16:00,14.22,14.85,13.70,14.10,410500,0
01/18/2002,16:00,14.24,14.85,11.50,12.32,548200,0
01/25/2002,16:00,12.90,14.36,12.45,13.35,400100,0
02/01/2002,16:00,13.25,13.57,11.65,12.35,297600,0
02/08/2002,16:00,12.40,12.50,9.40,10.54,1096100,0
02/15/2002,16:00,10.45,11.00,9.77,10.30,1546700,0
02/22/2002,16:00,10.25,10.85,9.75,10.85,432000,0
03/01/2002,16:00,10.87,11.00,9.24,9.54,508700,0
03/08/2002,16:00,9.70,11.89,9.56,10.58,534200,0
03/15/2002,16:00,10.60,12.12,9.75,11.30,628800,0
03/22/2002,16:00,11.40,11.49,10.35,11.20,376200,0
03/29/2002,16:00,11.24,13.18,11.00,12.95,416400,0
04/05/2002,16:00,12.99,13.00,11.12,11.46,313500,0
04/12/2002,16:00,11.30,11.51,9.84,10.00,560600,0
04/19/2002,16:00,10.10,12.68,8.75,10.46,1172800,0
04/26/2002,16:00,10.64,11.20,10.05,10.20,321200,0
05/03/2002,16:00,10.21,10.89,8.50,10.49,818600,0
05/10/2002,16:00,10.56,10.75,8.65,8.88,355700,0
05/17/2002,16:00,8.90,11.39,8.70,11.33,718700,0
05/24/2002,16:00,11.72,11.73,10.10,10.36,496900,0
05/31/2002,16:00,10.37,10.99,9.74,9.84,202000,0
06/07/2002,16:00,9.65,10.20,8.35,8.70,311900,0
06/14/2002,16:00,8.60,9.41,7.95,8.98,392000,0
06/21/2002,16:00,8.80,9.65,8.25,8.66,355400,0
06/28/2002,16:00,8.66,9.64,8.25,9.64,402100,0
07/05/2002,16:00,9.40,9.57,6.30,8.62,460600,0
07/12/2002,16:00,8.35,8.55,7.02,7.30,239600,0
07/19/2002,16:00,7.25,9.74,7.24,8.51,486100,0
07/26/2002,16:00,8.49,9.30,7.55,8.55,376245,0
08/02/2002,16:00,8.80,9.29,8.00,8.00,442965,0
08/09/2002,16:00,8.19,9.60,7.76,9.60,274436,0
08/16/2002,16:00,9.59,9.67,8.30,9.32,231850,0
08/23/2002,16:00,9.49,9.49,8.60,9.00,229593,0
08/30/2002,16:00,9.01,9.50,8.36,8.36,225000,0
09/06/2002,16:00,8.59,8.59,7.32,8.07,290851,0
09/13/2002,16:00,7.99,8.11,7.36,7.82,223074,0
09/20/2002,16:00,7.79,7.87,6.30,6.70,564536,0
09/27/2002,16:00,6.70,7.35,5.99,7.21,396300,0
10/04/2002,16:00,7.16,8.80,6.90,7.18,511418,0
10/11/2002,16:00,7.18,7.21,6.25,6.50,409162,0
10/18/2002,16:00,6.48,7.95,5.88,7.51,383934,0
10/25/2002,16:00,7.51,8.29,7.23,7.38,331328,0
11/01/2002,16:00,7.45,8.60,7.03,8.53,246956,0
11/08/2002,16:00,8.44,8.65,7.61,7.90,502138,0
11/15/2002,16:00,8.10,9.20,7.61,8.58,349857,0
11/22/2002,16:00,8.40,8.77,7.83,8.77,275669,0
11/29/2002,16:00,8.43,8.70,8.43,8.45,207538,0
12/06/2002,16:00,8.45,8.54,6.44,6.91,318290,0
12/13/2002,16:00,6.95,7.45,6.60,6.75,171899,0
12/20/2002,16:00,6.75,7.40,4.77,5.48,648037,0
12/27/2002,16:00,5.19,5.60,5.10,5.30,250488,0
01/03/2003,16:00,5.32,5.78,4.87,4.87,502991,0
01/10/2003,16:00,4.85,5.30,4.62,5.01,262665,0
01/17/2003,16:00,5.32,5.37,4.62,4.98,939564,0
01/24/2003,16:00,5.00,5.20,4.37,4.44,184294,0
01/31/2003,16:00,4.45,4.80,3.96,4.46,481931,0
02/07/2003,16:00,4.53,4.69,3.98,4.05,1203679,0
02/14/2003,16:00,4.11,4.55,3.92,4.10,258985,0
02/21/2003,16:00,4.10,4.40,4.05,4.31,145244,0
02/28/2003,16:00,4.21,4.40,4.04,4.08,117281,0
03/07/2003,16:00,3.97,4.36,3.97,4.15,491690,0
03/14/2003,16:00,4.15,4.29,4.02,4.15,190000,0
03/21/2003,16:00,4.11,4.55,4.05,4.50,417260,0
03/28/2003,16:00,4.30,4.70,4.11,4.18,267050,0
04/04/2003,16:00,4.15,4.39,2.63,2.99,3190229,0
04/11/2003,16:00,3.00,3.09,2.21,2.40,1582447,0
04/18/2003,16:00,2.40,2.45,2.10,2.40,1613318,0
04/25/2003,16:00,2.33,2.75,2.22,2.26,632363,0
05/02/2003,16:00,2.37,3.00,2.20,2.92,1782145,0
05/09/2003,16:00,3.00,3.31,2.68,2.91,1262211,0
05/16/2003,16:00,3.00,4.05,2.91,3.78,1246244,0
05/23/2003,16:00,3.75,3.98,3.06,3.37,844996,0
05/30/2003,16:00,3.25,3.95,3.25,3.66,659153,0
06/06/2003,16:00,3.66,4.49,3.65,3.96,930047,0
06/13/2003,16:00,3.96,4.21,3.40,3.53,646634,0
06/20/2003,16:00,3.64,3.89,3.25,3.33,494249,0
06/27/2003,16:00,3.25,3.65,3.01,3.26,470197,0
07/04/2003,16:00,3.46,3.50,3.08,3.10,1234753,0
07/11/2003,16:00,3.35,3.60,3.18,3.47,990453,0
07/18/2003,16:00,3.52,3.52,3.20,3.37,693883,0
07/25/2003,16:00,3.35,3.40,3.18,3.34,1001642,0
08/01/2003,16:00,3.37,4.00,3.36,3.75,1592528,0
08/08/2003,16:00,3.58,3.94,3.58,3.90,1051008,0
08/15/2003,16:00,3.94,4.44,3.94,4.29,745690,0
08/22/2003,16:00,4.29,5.14,4.21,5.00,941543,0
08/29/2003,16:00,5.03,5.80,4.72,5.27,628380,0
09/05/2003,16:00,5.26,5.67,5.17,5.33,748889,0
09/12/2003,16:00,5.96,6.54,5.78,6.01,1106251,0
09/19/2003,16:00,6.10,6.10,5.70,5.87,492584,0
09/26/2003,16:00,5.80,6.06,5.55,5.63,490371,0
10/03/2003,16:00,5.58,6.06,5.20,5.80,534035,0
10/10/2003,16:00,5.85,6.00,5.72,5.90,277074,0
10/17/2003,16:00,5.93,6.31,5.82,5.89,318235,0
10/24/2003,16:00,5.86,6.00,5.00,5.64,235212,0
10/31/2003,16:00,5.64,6.00,5.41,5.75,170681,0
11/07/2003,16:00,5.75,5.99,4.87,5.02,4752222,0
11/14/2003,16:00,5.09,5.10,4.55,4.70,977963,0
11/21/2003,16:00,4.65,5.25,4.60,4.61,991354,0
11/28/2003,16:00,4.65,5.25,4.65,5.11,265715,0
12/05/2003,16:00,5.10,5.40,4.86,5.03,899715,0
12/12/2003,16:00,5.00,5.74,4.85,5.60,379790,0
12/19/2003,16:00,5.60,5.84,5.11,5.44,889043,0
12/26/2003,16:00,4.95,5.90,4.95,5.90,413844,0
01/02/2004,16:00,5.80,6.00,5.50,5.95,564641,0
01/09/2004,16:00,5.99,8.40,5.86,7.37,5017566,0
