"Date","Time","Open","High","Low","Close","Vol","OI"
06/13/1997,16:00,97.50,97.50,78.00,78.00,43,0
06/20/1997,16:00,78.00,78.00,78.00,78.00,0,0
07/11/1997,16:00,91.00,91.00,91.00,91.00,3,0
07/18/1997,16:00,91.00,91.00,91.00,91.00,27,0
07/25/1997,16:00,65.00,65.00,65.00,65.00,30,0
08/01/1997,16:00,40.95,91.00,40.95,91.00,12,0
08/22/1997,16:00,40.95,40.95,39.00,39.00,1,0
08/29/1997,16:00,40.95,91.00,40.95,65.00,58,0
09/12/1997,16:00,101.53,101.53,65.00,65.00,18,0
09/26/1997,16:00,65.00,65.00,65.00,65.00,3,0
10/03/1997,16:00,65.00,65.00,65.00,65.00,0,0
10/10/1997,16:00,65.00,65.00,65.00,65.00,2,0
10/17/1997,16:00,65.00,65.00,65.00,65.00,7,0
10/31/1997,16:00,65.00,65.00,65.00,65.00,19,0
11/07/1997,16:00,65.00,65.00,65.00,65.00,44,0
11/14/1997,16:00,40.30,40.30,40.30,40.30,24,0
11/21/1997,16:00,40.30,40.30,40.30,40.30,0,0
11/28/1997,16:00,40.30,40.30,40.30,40.30,38,0
12/05/1997,16:00,52.00,52.00,39.00,39.00,18,0
12/12/1997,16:00,32.50,32.50,32.50,32.50,2,0
12/19/1997,16:00,52.00,52.00,19.50,39.00,27,0
12/26/1997,16:00,39.00,52.00,39.00,39.00,33,0
01/02/1998,16:00,39.00,45.50,32.50,32.50,95,0
01/16/1998,16:00,32.50,32.50,32.50,32.50,2,0
01/30/1998,16:00,39.00,45.50,39.00,45.50,8,0
02/13/1998,16:00,45.50,45.50,45.50,45.50,7,0
02/27/1998,16:00,45.50,45.50,45.50,45.50,15,0
03/13/1998,16:00,45.50,45.50,45.50,45.50,7,0
03/20/1998,16:00,32.50,32.50,32.50,32.50,0,0
03/27/1998,16:00,32.50,45.50,32.50,39.00,26,0
04/03/1998,16:00,39.00,39.00,39.00,39.00,21,0
04/17/1998,16:00,39.00,39.00,39.00,39.00,0,0
04/24/1998,16:00,39.00,39.00,32.50,32.50,12,0
05/15/1998,16:00,32.50,32.50,32.50,32.50,0,0
05/29/1998,16:00,32.50,32.50,32.50,32.50,0,0
06/19/1998,16:00,52.00,52.00,45.50,45.50,33,0
07/03/1998,16:00,32.50,32.50,32.50,32.50,1,0
07/10/1998,16:00,32.50,32.50,32.50,32.50,0,0
07/24/1998,16:00,30.49,30.49,30.49,30.49,1,0
08/07/1998,16:00,30.49,30.49,30.49,30.49,4,0
08/28/1998,16:00,30.49,30.49,30.49,30.49,4,0
10/02/1998,16:00,45.70,50.77,45.70,45.70,63,0
10/09/1998,16:00,50.77,50.77,40.63,45.70,51,0
10/16/1998,16:00,30.49,30.49,30.49,30.49,7,0
10/23/1998,16:00,30.49,30.49,30.49,30.49,0,0
10/30/1998,16:00,30.49,30.49,25.42,25.42,9,0
11/06/1998,16:00,30.49,50.77,30.49,40.63,105,0
11/13/1998,16:00,50.77,50.77,40.63,40.63,7,0
