"Date","Time","Open","High","Low","Close","Vol","OI"
02/01/2008,16:00,3.07,3.87,1.87,3.08,1918422,0
02/08/2008,16:00,3.07,3.28,2.24,2.58,67450,0
02/15/2008,16:00,2.62,2.74,2.57,2.57,68391,0
02/22/2008,16:00,2.77,3.87,2.67,3.19,115552,0
02/29/2008,16:00,3.12,3.97,2.87,3.87,34878,0
03/07/2008,16:00,3.66,4.44,3.62,4.41,33976,0
03/14/2008,16:00,4.05,6.49,4.03,5.37,61152,0
03/21/2008,16:00,5.56,5.56,2.92,3.11,86241,0
03/28/2008,16:00,2.98,4.08,1.59,2.28,287845,0
04/04/2008,16:00,2.19,5.48,2.09,4.59,56583,0
04/11/2008,16:00,4.07,4.07,3.08,3.35,96385,0
04/18/2008,16:00,3.35,4.57,3.32,4.17,34232,0
04/25/2008,16:00,4.60,5.41,3.98,4.07,51013,0
05/02/2008,16:00,4.07,4.41,4.02,4.17,49052,0
05/09/2008,16:00,4.11,4.70,4.07,4.47,36195,0
05/16/2008,16:00,4.31,6.19,4.27,6.13,47878,0
05/23/2008,16:00,6.07,11.02,6.07,10.65,406184,0
05/30/2008,16:00,9.87,9.87,8.52,8.67,162512,0
06/06/2008,16:00,8.82,9.64,8.72,8.77,113872,0
06/13/2008,16:00,8.09,8.26,7.02,8.03,111605,0
06/20/2008,16:00,7.87,8.77,7.87,8.47,61005,0
06/27/2008,16:00,8.42,8.56,7.48,7.72,88261,0
07/04/2008,16:00,7.63,7.64,5.33,5.47,299037,0
07/11/2008,16:00,5.47,6.26,2.99,6.20,227203,0
07/18/2008,16:00,6.12,6.51,5.54,5.54,7780,0
07/25/2008,16:00,5.74,9.02,5.55,8.17,86955,0
08/01/2008,16:00,8.35,8.57,7.57,8.56,333162,0
08/08/2008,16:00,8.57,8.98,7.55,7.57,186023,0
08/15/2008,16:00,7.57,7.57,6.35,6.92,91558,0
08/22/2008,16:00,7.03,7.07,6.07,6.13,67682,0
08/29/2008,16:00,6.07,6.67,4.64,5.38,187146,0
09/05/2008,16:00,5.50,6.71,4.96,5.55,113583,0
09/12/2008,16:00,5.94,5.94,3.27,3.36,107559,0
09/19/2008,16:00,3.48,4.07,2.96,4.05,67541,0
09/26/2008,16:00,4.24,4.24,1.79,2.77,172028,0
10/03/2008,16:00,2.79,3.12,1.12,1.47,225214,0
10/10/2008,16:00,1.36,1.57,0.62,1.57,98202,0
10/17/2008,16:00,1.64,2.55,1.64,1.86,90449,0
10/24/2008,16:00,2.27,2.63,0.57,1.86,99690,0
10/31/2008,16:00,1.60,2.15,1.60,1.87,37845,0
11/07/2008,16:00,1.95,2.07,1.75,1.77,88326,0
11/14/2008,16:00,1.87,1.87,-2.87,-1.44,297138,0
11/21/2008,16:00,-1.04,0.04,-1.63,-0.13,197188,0
11/28/2008,16:00,-0.26,-0.23,-2.02,-0.93,231884,0
12/05/2008,16:00,-1.03,-0.74,-1.14,-0.93,122545,0
12/12/2008,16:00,-0.93,-0.83,-1.06,-0.93,151973,0
12/19/2008,16:00,-0.93,-0.93,-1.41,-1.31,128975,0
12/26/2008,16:00,-1.33,-1.33,-2.43,-1.67,19429,0
01/02/2009,16:00,-1.63,-1.14,-2.16,-1.18,135191,0
01/09/2009,16:00,-1.28,-1.23,-1.98,-1.83,100554,0
01/16/2009,16:00,-1.83,-1.83,-3.17,-2.87,186632,0
01/23/2009,16:00,-2.82,-2.38,-3.13,-2.81,44486,0
01/30/2009,16:00,-2.98,-2.31,-3.68,-3.15,102310,0
02/06/2009,16:00,-3.15,-1.94,-3.15,-1.94,89849,0
02/13/2009,16:00,-2.04,-1.86,-2.73,-2.46,33895,0
02/20/2009,16:00,-2.63,-1.43,-2.65,-1.75,86616,0
02/27/2009,16:00,-1.58,-0.81,-1.58,-1.06,50978,0
03/06/2009,16:00,-1.33,-1.06,-1.51,-1.18,96895,0
03/13/2009,16:00,-1.57,-1.12,-1.93,-1.67,144775,0
03/20/2009,16:00,-1.78,-1.64,-2.63,-2.51,104713,0
03/27/2009,16:00,-2.23,-1.53,-2.63,-1.95,243254,0
04/03/2009,16:00,-1.95,-1.58,-2.28,-2.18,201049,0
04/10/2009,16:00,-2.19,-1.93,-2.30,-2.14,54072,0
04/17/2009,16:00,-2.24,-1.70,-2.49,-2.13,214862,0
04/24/2009,16:00,-2.22,-1.95,-2.44,-2.43,54637,0
05/01/2009,16:00,-2.39,-1.31,-2.46,-1.42,181770,0
05/08/2009,16:00,-1.43,0.33,-1.58,-1.28,263275,0
05/15/2009,16:00,-1.29,-1.28,-1.87,-1.34,242927,0
05/22/2009,16:00,-1.28,-1.23,-1.82,-1.24,167310,0
05/29/2009,16:00,-1.31,-0.43,-1.50,-0.44,145829,0
06/05/2009,16:00,-0.43,0.35,-1.02,-0.03,212065,0
06/12/2009,16:00,-0.01,0.77,-0.18,0.57,135138,0
06/19/2009,16:00,0.59,1.49,0.44,1.43,223617,0
06/26/2009,16:00,1.43,5.77,1.43,3.07,1169080,0
07/03/2009,16:00,3.27,3.77,1.64,2.49,79715,0
07/10/2009,16:00,2.36,2.36,0.86,1.56,49445,0
07/17/2009,16:00,1.50,2.22,1.28,1.67,64126,0
07/24/2009,16:00,2.17,3.02,1.47,2.72,64678,0
07/31/2009,16:00,2.72,2.72,1.57,2.12,99755,0
08/07/2009,16:00,2.31,2.51,1.47,1.47,112197,0
08/14/2009,16:00,1.69,1.78,1.07,1.21,41639,0
08/21/2009,16:00,0.98,1.07,0.22,0.37,45040,0
08/28/2009,16:00,0.28,1.22,0.17,0.88,57682,0
09/04/2009,16:00,0.77,1.12,0.17,0.27,48886,0
09/11/2009,16:00,0.20,0.41,0.07,0.19,34574,0
09/18/2009,16:00,0.05,0.61,0.03,0.31,69245,0
09/25/2009,16:00,0.13,0.46,-0.63,-0.47,44248,0
10/02/2009,16:00,-0.55,-0.22,-0.93,-0.89,54047,0
10/09/2009,16:00,-0.49,-0.24,-0.68,-0.38,24945,0
10/16/2009,16:00,-0.52,-0.47,-0.53,-0.49,28458,0
10/23/2009,16:00,-0.47,-0.47,-1.33,-1.31,32904,0
10/30/2009,16:00,-0.98,-0.93,-1.31,-1.24,40178,0
11/06/2009,16:00,-1.28,-1.22,-1.58,-1.43,33949,0
11/13/2009,16:00,-1.49,-1.49,-2.31,-1.90,368713,0
11/20/2009,16:00,-2.12,-1.25,-2.13,-1.43,89582,0
11/27/2009,16:00,-1.48,-0.83,-1.72,-1.42,103261,0
12/04/2009,16:00,-1.62,-1.04,-1.63,-1.49,668574,0
12/11/2009,16:00,-1.44,-1.13,-1.61,-1.32,58615,0
12/18/2009,16:00,-1.29,-1.29,-1.60,-1.59,4225,0
12/25/2009,16:00,-1.60,-1.59,-2.15,-1.86,19056,0
01/01/2010,16:00,-1.91,-1.78,-2.03,-1.96,35488,0
01/08/2010,16:00,-1.78,-1.68,-1.92,-1.68,3258,0
01/15/2010,16:00,-1.68,-1.68,-2.18,-1.98,12097,0
01/22/2010,16:00,-1.95,-1.92,-2.80,-2.57,61180,0
01/29/2010,16:00,-2.50,-2.41,-3.51,-3.43,167444,0
02/05/2010,16:00,-3.35,-2.78,-3.43,-2.94,74595,0
02/12/2010,16:00,-2.92,-2.52,-2.96,-2.96,75074,0
02/19/2010,16:00,-2.86,-2.74,-3.26,-2.98,87229,0
02/26/2010,16:00,-3.03,-2.54,-3.11,-2.63,91159,0
03/05/2010,16:00,-2.55,-2.46,-2.95,-2.91,260018,0
03/12/2010,16:00,-2.85,-1.84,-2.98,-1.90,1163763,0
03/19/2010,16:00,-2.01,-1.87,-2.40,-2.39,91247,0
03/26/2010,16:00,-2.38,-2.20,-2.53,-2.20,261359,0
