"Date","Time","Open","High","Low","Close","Vol","OI"
03/11/1994,16:00,6.63,6.75,6.25,6.45,484900,0
03/18/1994,16:00,6.63,6.63,6.13,6.25,79600,0
03/25/1994,16:00,6.25,6.38,6.00,6.38,113300,0
04/01/1994,16:00,6.38,6.38,5.50,5.50,112300,0
04/08/1994,16:00,5.50,5.75,4.75,5.25,143300,0
04/15/1994,16:00,5.25,5.38,4.75,5.00,169000,0
04/22/1994,16:00,4.88,5.00,3.38,4.00,356500,0
04/29/1994,16:00,4.13,5.75,4.00,5.63,170900,0
05/06/1994,16:00,5.63,5.75,5.38,5.75,106100,0
05/13/1994,16:00,5.75,5.88,5.50,5.88,46100,0
05/20/1994,16:00,5.72,5.88,5.13,5.38,46700,0
05/27/1994,16:00,5.13,5.50,4.63,5.00,38900,0
06/03/1994,16:00,4.88,5.25,4.88,5.00,92700,0
06/10/1994,16:00,5.00,5.13,4.38,4.75,115500,0
06/17/1994,16:00,4.75,5.38,4.50,5.00,79600,0
06/24/1994,16:00,5.13,5.13,4.63,4.63,29700,0
07/01/1994,16:00,4.56,5.00,4.13,4.88,109400,0
07/08/1994,16:00,4.63,5.25,4.63,5.07,85600,0
07/15/1994,16:00,5.00,5.25,4.94,5.25,50900,0
07/22/1994,16:00,5.00,5.25,4.75,4.75,45900,0
07/29/1994,16:00,4.91,5.00,4.75,4.88,17300,0
08/05/1994,16:00,5.00,5.00,4.50,4.70,52400,0
08/12/1994,16:00,4.50,4.75,4.25,4.50,91800,0
08/19/1994,16:00,4.57,4.63,4.25,4.63,26800,0
08/26/1994,16:00,4.63,4.63,4.13,4.50,56500,0
09/02/1994,16:00,4.13,4.25,3.75,3.94,155200,0
09/09/1994,16:00,3.75,4.25,3.75,4.25,209400,0
09/16/1994,16:00,4.50,4.88,4.00,4.57,247800,0
09/23/1994,16:00,4.88,5.75,4.50,5.75,161500,0
09/30/1994,16:00,5.50,5.88,5.38,5.50,178800,0
10/07/1994,16:00,5.38,5.63,5.00,5.38,47900,0
10/14/1994,16:00,5.50,5.50,5.25,5.38,30800,0
10/21/1994,16:00,5.38,5.88,5.13,5.75,136400,0
10/28/1994,16:00,5.88,6.13,5.63,5.75,75800,0
11/04/1994,16:00,5.50,5.75,5.38,5.50,42900,0
11/11/1994,16:00,5.38,5.75,5.38,5.38,33100,0
11/18/1994,16:00,5.75,5.75,5.38,5.38,6400,0
11/25/1994,16:00,5.63,5.63,5.13,5.38,38700,0
12/02/1994,16:00,5.13,5.38,4.75,4.75,91600,0
12/09/1994,16:00,4.63,4.88,4.38,4.63,35400,0
12/16/1994,16:00,4.63,5.13,4.63,5.13,40500,0
12/23/1994,16:00,5.13,5.38,4.75,5.00,43000,0
