"Date","Time","Open","High","Low","Close","Vol","OI"
04/23/2010,16:00,13.00,14.20,12.62,14.04,3656923,0
04/30/2010,16:00,14.50,14.98,13.05,13.62,722126,0
05/07/2010,16:00,14.09,14.50,13.00,13.20,202832,0
05/14/2010,16:00,13.86,13.95,12.98,13.03,514054,0
05/21/2010,16:00,13.21,13.40,12.50,13.00,942404,0
05/28/2010,16:00,13.00,13.19,10.20,10.34,509368,0
06/04/2010,16:00,10.32,10.97,10.11,10.64,150779,0
06/11/2010,16:00,10.75,10.81,9.15,10.01,241730,0
06/18/2010,16:00,10.02,10.97,9.45,9.50,127874,0
06/25/2010,16:00,9.55,10.78,8.86,9.00,1377706,0
07/02/2010,16:00,9.01,9.19,7.81,7.87,337538,0
07/09/2010,16:00,7.92,8.52,6.88,7.40,888563,0
07/16/2010,16:00,7.43,10.13,7.30,9.66,542804,0
07/23/2010,16:00,9.83,10.22,9.05,9.42,262030,0
07/30/2010,16:00,9.42,9.84,8.55,8.95,311717,0
08/06/2010,16:00,9.10,9.11,7.58,7.99,411869,0
08/13/2010,16:00,8.00,8.28,7.50,7.78,463837,0
08/20/2010,16:00,7.82,8.49,7.50,7.50,246575,0
08/27/2010,16:00,8.09,8.09,7.38,7.81,234250,0
09/03/2010,16:00,7.80,8.75,7.80,8.38,238902,0
09/10/2010,16:00,8.37,8.70,8.02,8.10,116712,0
09/17/2010,16:00,8.58,9.19,7.98,9.01,204894,0
09/24/2010,16:00,9.03,9.42,8.83,9.39,126159,0
10/01/2010,16:00,9.42,9.80,9.07,9.80,183289,0
10/08/2010,16:00,9.99,12.00,9.92,11.61,520225,0
10/15/2010,16:00,11.73,11.81,10.64,11.13,195893,0
10/22/2010,16:00,11.25,11.37,9.61,9.91,276687,0
10/29/2010,16:00,9.99,10.38,8.82,10.24,339495,0
11/05/2010,16:00,10.89,11.39,9.87,9.95,700941,0
11/12/2010,16:00,10.07,11.01,9.99,10.38,339196,0
11/19/2010,16:00,9.05,10.25,8.79,10.09,1091208,0
11/26/2010,16:00,10.02,10.23,9.25,9.57,538589,0
12/03/2010,16:00,9.74,10.25,9.41,10.00,1092378,0
12/10/2010,16:00,9.95,10.05,9.66,9.88,377228,0
12/17/2010,16:00,9.90,10.15,9.36,10.07,1270189,0
12/24/2010,16:00,10.23,10.90,10.10,10.75,1612991,0
12/31/2010,16:00,10.69,10.80,10.42,10.60,593986,0
01/07/2011,16:00,10.72,10.72,9.63,9.87,532869,0
01/14/2011,16:00,9.79,10.94,9.66,10.74,651145,0
01/21/2011,16:00,10.74,10.76,9.70,9.81,340090,0
01/28/2011,16:00,9.85,9.89,9.00,9.17,701191,0
02/04/2011,16:00,9.18,10.75,9.00,10.70,1048348,0
02/11/2011,16:00,10.77,10.80,10.28,10.44,622450,0
02/18/2011,16:00,10.40,10.83,10.14,10.50,811331,0
02/25/2011,16:00,10.52,10.83,10.20,10.61,713822,0
03/04/2011,16:00,10.68,10.79,10.50,10.59,1008576,0
03/11/2011,16:00,10.57,11.00,10.21,10.92,926078,0
03/18/2011,16:00,10.83,11.04,10.30,10.99,693964,0
03/25/2011,16:00,11.09,11.16,10.80,11.00,769738,0
04/01/2011,16:00,11.00,12.24,10.70,12.19,1147715,0
04/08/2011,16:00,12.24,12.24,11.52,11.60,910613,0
04/15/2011,16:00,11.63,11.79,10.03,10.40,642887,0
04/22/2011,16:00,10.33,10.51,9.97,10.22,493241,0
04/29/2011,16:00,10.19,10.98,10.19,10.49,580661,0
05/06/2011,16:00,10.64,10.78,9.59,9.60,603251,0
05/13/2011,16:00,9.58,10.09,9.15,9.55,744957,0
05/20/2011,16:00,9.63,10.37,8.54,10.07,1000199,0
05/27/2011,16:00,10.17,10.91,9.87,10.89,990000,0
06/03/2011,16:00,10.96,10.98,10.26,10.63,479793,0
06/10/2011,16:00,10.66,10.75,10.27,10.43,392351,0
06/17/2011,16:00,10.48,10.81,10.19,10.48,702820,0
06/24/2011,16:00,10.21,10.21,9.25,9.51,2491347,0
07/01/2011,16:00,9.48,9.95,9.20,9.83,710897,0
07/08/2011,16:00,9.80,10.25,9.54,9.98,401475,0
07/15/2011,16:00,9.88,9.89,9.08,9.26,461836,0
07/22/2011,16:00,9.20,9.50,8.80,9.25,348355,0
07/29/2011,16:00,9.13,9.25,8.41,9.00,1043958,0
08/05/2011,16:00,9.07,9.08,7.10,7.22,1022749,0
08/12/2011,16:00,6.95,7.04,5.79,6.11,1738968,0
08/19/2011,16:00,6.18,6.59,5.70,5.73,869246,0
08/26/2011,16:00,5.86,5.99,5.60,5.92,714638,0
09/02/2011,16:00,5.98,6.78,5.58,5.60,1002943,0
09/09/2011,16:00,5.46,5.75,5.08,5.17,521481,0
09/16/2011,16:00,5.12,5.86,4.95,5.42,887165,0
09/23/2011,16:00,5.32,5.32,4.20,4.57,655793,0
09/30/2011,16:00,4.63,5.14,4.45,4.57,853346,0
10/07/2011,16:00,4.53,4.69,3.91,4.24,1257058,0
10/14/2011,16:00,4.32,5.00,4.13,4.97,634774,0
10/21/2011,16:00,4.93,4.94,4.55,4.78,463508,0
10/28/2011,16:00,4.81,5.41,4.75,5.05,876701,0
11/04/2011,16:00,4.99,5.70,4.35,5.20,1686622,0
11/11/2011,16:00,5.21,5.29,4.92,5.10,644299,0
11/18/2011,16:00,5.07,5.28,4.45,4.51,566756,0
11/25/2011,16:00,4.41,4.87,4.30,4.35,1032389,0
12/02/2011,16:00,4.55,6.01,4.41,5.85,911246,0
12/09/2011,16:00,5.93,6.26,5.24,5.72,1107330,0
12/16/2011,16:00,5.57,5.80,5.10,5.27,995981,0
12/23/2011,16:00,5.29,5.95,4.98,5.77,875481,0
12/30/2011,16:00,5.75,5.75,5.15,5.30,587555,0
01/06/2012,16:00,5.44,5.52,5.08,5.11,368715,0
01/13/2012,16:00,5.17,5.52,5.10,5.33,506900,0
01/20/2012,16:00,5.42,5.48,5.25,5.32,391832,0
01/27/2012,16:00,5.32,5.85,5.25,5.81,729181,0
02/03/2012,16:00,5.60,6.12,5.43,6.08,823716,0
02/10/2012,16:00,6.00,6.10,4.85,4.89,1675678,0
02/17/2012,16:00,4.93,4.96,4.50,4.58,1169065,0
02/24/2012,16:00,4.29,4.30,3.61,3.98,4461707,0
03/02/2012,16:00,3.94,4.09,3.84,3.92,1352500,0
03/09/2012,16:00,3.87,3.95,3.45,3.75,1435326,0
03/16/2012,16:00,3.76,4.10,3.74,4.06,949629,0
03/23/2012,16:00,4.07,4.16,3.60,3.73,584763,0
03/30/2012,16:00,3.78,3.83,3.51,3.65,543105,0
04/06/2012,16:00,3.64,3.82,3.58,3.72,500938,0
04/13/2012,16:00,3.66,3.95,3.49,3.55,652049,0
04/20/2012,16:00,3.58,3.75,3.42,3.56,449130,0
04/27/2012,16:00,3.52,4.55,3.52,3.87,2293890,0
05/04/2012,16:00,3.89,3.95,3.44,3.44,948790,0
05/11/2012,16:00,3.42,3.55,3.26,3.28,832316,0
05/18/2012,16:00,3.22,3.35,3.01,3.12,1290025,0
05/25/2012,16:00,3.14,3.41,3.07,3.39,1576177,0
06/01/2012,16:00,3.41,3.44,2.96,3.03,1035586,0
06/08/2012,16:00,3.07,3.77,3.01,3.49,713271,0
06/15/2012,16:00,3.57,3.71,3.33,3.71,558139,0
06/22/2012,16:00,3.68,3.80,3.42,3.70,1593941,0
06/29/2012,16:00,3.70,3.81,3.50,3.71,497631,0
07/06/2012,16:00,3.71,3.82,3.59,3.76,349898,0
07/13/2012,16:00,3.73,3.88,3.62,3.84,325775,0
07/20/2012,16:00,3.84,4.00,3.70,3.76,469830,0
07/27/2012,16:00,3.65,3.66,3.19,3.23,454633,0
08/03/2012,16:00,3.20,3.31,3.00,3.17,496916,0
08/10/2012,16:00,3.19,3.39,2.40,2.44,1288018,0
08/17/2012,16:00,2.44,2.55,2.25,2.36,781537,0
08/24/2012,16:00,2.39,2.39,2.01,2.11,860384,0
08/31/2012,16:00,2.11,2.31,2.08,2.27,603769,0
09/07/2012,16:00,2.25,2.70,2.06,2.66,889033,0
09/14/2012,16:00,2.70,2.99,2.65,2.77,948707,0
09/21/2012,16:00,2.74,3.82,2.70,3.42,1492067,0
09/28/2012,16:00,3.36,3.44,2.93,3.03,643379,0
10/05/2012,16:00,3.05,3.20,2.91,3.11,372652,0
10/12/2012,16:00,3.10,3.10,2.91,2.94,227995,0
10/19/2012,16:00,2.96,3.03,2.78,2.81,339422,0
10/26/2012,16:00,2.80,2.88,2.60,2.66,202484,0
11/02/2012,16:00,2.66,2.85,2.39,2.47,352372,0
11/09/2012,16:00,2.50,2.75,2.13,2.15,550696,0
11/16/2012,16:00,2.15,2.24,2.00,2.10,694627,0
11/23/2012,16:00,2.17,2.20,2.02,2.07,417321,0
11/30/2012,16:00,2.03,2.37,2.03,2.14,1370530,0
12/07/2012,16:00,2.15,2.30,2.10,2.11,579407,0
12/14/2012,16:00,2.15,2.37,2.13,2.34,386350,0
12/21/2012,16:00,2.31,2.35,2.16,2.21,569690,0
12/28/2012,16:00,2.19,2.25,2.10,2.13,296889,0
01/04/2013,16:00,2.11,2.67,2.11,2.66,342788,0
01/11/2013,16:00,2.65,2.65,2.33,2.44,215657,0
01/18/2013,16:00,2.43,2.43,2.24,2.31,169803,0
01/25/2013,16:00,2.31,2.39,2.24,2.32,150717,0
02/01/2013,16:00,2.31,2.57,2.24,2.39,247588,0
02/08/2013,16:00,2.40,2.50,2.25,2.31,292198,0
02/15/2013,16:00,2.32,2.40,2.20,2.31,729902,0
02/22/2013,16:00,2.28,2.44,2.14,2.20,465269,0
03/01/2013,16:00,2.22,2.25,2.03,2.05,583548,0
03/08/2013,16:00,2.05,2.49,2.00,2.46,669543,0
03/15/2013,16:00,2.47,2.66,2.29,2.51,647349,0
03/22/2013,16:00,2.45,2.64,2.39,2.46,389835,0
03/29/2013,16:00,2.46,2.46,2.25,2.39,261929,0
04/05/2013,16:00,2.40,2.40,2.12,2.17,803553,0
04/12/2013,16:00,2.17,2.30,2.06,2.27,432678,0
04/19/2013,16:00,2.23,2.25,1.99,2.14,426773,0
04/26/2013,16:00,2.11,2.27,2.11,2.24,394363,0
05/03/2013,16:00,2.25,2.36,2.11,2.20,677682,0
05/10/2013,16:00,2.21,2.27,2.11,2.19,697286,0
05/17/2013,16:00,2.19,2.49,2.14,2.42,1059279,0
05/24/2013,16:00,2.41,2.47,2.28,2.38,592388,0
05/31/2013,16:00,2.47,2.47,2.21,2.30,542907,0
06/07/2013,16:00,2.31,2.34,2.11,2.15,603963,0
06/14/2013,16:00,2.17,2.89,2.13,2.72,2157989,0
06/21/2013,16:00,2.74,2.79,2.31,2.34,1285774,0
06/28/2013,16:00,2.31,2.36,2.13,2.21,4834777,0
07/05/2013,16:00,2.26,2.49,2.21,2.38,356090,0
07/12/2013,16:00,2.42,2.45,2.21,2.34,422820,0
07/19/2013,16:00,2.38,2.59,2.35,2.41,356329,0
07/26/2013,16:00,2.43,2.43,2.30,2.36,267304,0
08/02/2013,16:00,2.35,2.55,2.31,2.49,393688,0
08/09/2013,16:00,2.50,2.56,2.21,2.25,396442,0
08/16/2013,16:00,2.24,2.24,1.84,1.87,1546159,0
08/23/2013,16:00,1.87,1.92,1.77,1.89,752661,0
08/30/2013,16:00,1.99,1.99,1.71,1.72,622186,0
09/06/2013,16:00,1.75,1.87,1.70,1.82,268016,0
09/13/2013,16:00,1.82,1.88,1.77,1.80,562277,0
09/20/2013,16:00,1.80,1.94,1.74,1.75,464383,0
09/27/2013,16:00,1.72,1.90,1.62,1.81,402934,0
10/04/2013,16:00,1.75,1.83,1.61,1.65,823759,0
10/11/2013,16:00,1.60,1.78,1.59,1.71,488647,0
10/18/2013,16:00,1.71,1.90,1.71,1.78,406406,0
10/25/2013,16:00,1.77,1.84,1.69,1.78,352228,0
11/01/2013,16:00,1.75,1.78,1.68,1.68,299782,0
11/08/2013,16:00,1.68,1.79,1.68,1.71,477182,0
11/15/2013,16:00,1.76,1.77,1.28,1.29,1474308,0
11/22/2013,16:00,1.28,1.55,1.28,1.39,820634,0
11/29/2013,16:00,1.37,1.51,1.35,1.50,486680,0
12/06/2013,16:00,1.50,1.57,1.37,1.40,405904,0
12/13/2013,16:00,1.40,1.50,1.34,1.46,383807,0
12/20/2013,16:00,1.45,1.50,1.27,1.29,726516,0
12/27/2013,16:00,1.29,1.33,1.24,1.28,1042545,0
01/03/2014,16:00,1.27,1.47,1.26,1.46,873287,0
01/10/2014,16:00,1.44,1.53,1.32,1.41,829540,0
01/17/2014,16:00,1.39,2.00,1.35,1.73,2982312,0
01/24/2014,16:00,1.70,1.81,1.60,1.74,714649,0
01/31/2014,16:00,1.71,1.93,1.69,1.87,497642,0
02/07/2014,16:00,1.84,1.96,1.76,1.85,818640,0
02/14/2014,16:00,1.84,1.92,1.78,1.86,663651,0
02/21/2014,16:00,1.84,2.04,1.84,1.92,609624,0
02/28/2014,16:00,1.87,2.10,1.85,1.86,915171,0
03/07/2014,16:00,1.86,2.00,1.80,1.99,494458,0
03/14/2014,16:00,1.96,2.00,1.82,1.99,374142,0
